"dep";"sexe";"jour";"hosp";"rea";"dc";"rad"
"30";2;"2020-03-18";0;0;0;5
"31";0;"2020-03-18";23;5;0;11
"31";1;"2020-03-18";15;4;0;4
"31";2;"2020-03-18";8;1;0;7
"32";0;"2020-03-18";1;1;0;0
"32";1;"2020-03-18";1;1;0;0
"32";2;"2020-03-18";0;0;0;0
"33";0;"2020-03-18";7;4;1;3
"33";1;"2020-03-18";5;3;0;1
"33";2;"2020-03-18";2;1;1;2
"34";0;"2020-03-18";37;15;2;18
"34";1;"2020-03-18";18;7;1;9
"34";2;"2020-03-18";18;7;1;9
"35";0;"2020-03-18";7;3;0;0
"35";1;"2020-03-18";4;2;0;0
"35";2;"2020-03-18";3;1;0;0
"36";0;"2020-03-18";0;0;0;0
"36";1;"2020-03-18";0;0;0;0
"36";2;"2020-03-18";0;0;0;0
"37";0;"2020-03-18";4;1;0;0
"37";1;"2020-03-18";2;1;0;0
"37";2;"2020-03-18";2;0;0;0
"38";0;"2020-03-18";18;2;1;0
"38";1;"2020-03-18";10;1;1;0
"38";2;"2020-03-18";8;1;0;0
"39";0;"2020-03-18";2;1;0;1
"39";1;"2020-03-18";1;0;0;1
"39";2;"2020-03-18";1;1;0;0
"40";0;"2020-03-18";0;0;0;0
"40";1;"2020-03-18";0;0;0;0
"40";2;"2020-03-18";0;0;0;0
"41";0;"2020-03-18";0;0;0;0
"41";1;"2020-03-18";0;0;0;0
"41";2;"2020-03-18";0;0;0;0
"42";0;"2020-03-18";31;10;1;3
"42";1;"2020-03-18";21;9;1;2
"42";2;"2020-03-18";10;1;0;1
"43";0;"2020-03-18";1;1;0;5
"43";1;"2020-03-18";1;1;0;2
"43";2;"2020-03-18";0;0;0;3
"44";0;"2020-03-18";18;3;1;7
"44";1;"2020-03-18";14;3;0;3
"44";2;"2020-03-18";4;0;1;4
"45";0;"2020-03-18";5;1;0;0
"45";1;"2020-03-18";3;1;0;0
"45";2;"2020-03-18";2;0;0;0
"46";0;"2020-03-18";0;0;0;1
"46";1;"2020-03-18";0;0;0;0
"46";2;"2020-03-18";0;0;0;1
"47";0;"2020-03-18";10;4;0;1
"47";1;"2020-03-18";7;4;0;1
"47";2;"2020-03-18";3;0;0;0
"48";0;"2020-03-18";1;0;0;0
"48";1;"2020-03-18";0;0;0;0
"48";2;"2020-03-18";1;0;0;0
"49";0;"2020-03-18";12;1;0;26
"49";1;"2020-03-18";6;1;0;17
"49";2;"2020-03-18";6;0;0;9
"50";0;"2020-03-18";7;0;0;1
"50";1;"2020-03-18";4;0;0;0
"50";2;"2020-03-18";3;0;0;1
"51";0;"2020-03-18";35;7;1;6
"51";1;"2020-03-18";19;4;1;2
"51";2;"2020-03-18";16;3;0;4
"52";0;"2020-03-18";4;0;1;0
"52";1;"2020-03-18";2;0;0;0
"52";2;"2020-03-18";2;0;1;0
"53";0;"2020-03-18";4;0;0;2
"53";1;"2020-03-18";3;0;0;1
"53";2;"2020-03-18";1;0;0;1
"54";0;"2020-03-18";42;19;5;1
"54";1;"2020-03-18";23;13;2;0
"54";2;"2020-03-18";17;5;3;1
"55";0;"2020-03-18";11;3;0;0
"55";1;"2020-03-18";6;1;0;0
"55";2;"2020-03-18";5;2;0;0
"56";0;"2020-03-18";39;14;7;63
"56";1;"2020-03-18";22;10;5;28
"56";2;"2020-03-18";17;4;2;35
"57";0;"2020-03-18";169;34;16;11
"57";1;"2020-03-18";96;26;7;6
"57";2;"2020-03-18";73;8;9;5
"58";0;"2020-03-18";0;0;0;0
"58";1;"2020-03-18";0;0;0;0
"58";2;"2020-03-18";0;0;0;0
"59";0;"2020-03-18";106;26;3;16
"59";1;"2020-03-18";61;19;2;10
"59";2;"2020-03-18";44;7;1;6
"60";0;"2020-03-18";94;22;6;18
"60";1;"2020-03-18";54;16;3;11
"60";2;"2020-03-18";40;6;3;7
"61";0;"2020-03-18";4;0;0;2
"61";1;"2020-03-18";1;0;0;1
"61";2;"2020-03-18";3;0;0;1
"62";0;"2020-03-18";22;9;0;16
"62";1;"2020-03-18";10;6;0;12
"62";2;"2020-03-18";12;3;0;4
"63";0;"2020-03-18";10;2;0;3
"63";1;"2020-03-18";7;2;0;2
"63";2;"2020-03-18";3;0;0;1
"64";0;"2020-03-18";5;0;0;0
"64";1;"2020-03-18";2;0;0;0
"64";2;"2020-03-18";3;0;0;0
"65";0;"2020-03-18";0;0;0;0
"65";1;"2020-03-18";0;0;0;0
"65";2;"2020-03-18";0;0;0;0
"66";0;"2020-03-18";9;5;0;1
"66";1;"2020-03-18";7;4;0;0
"66";2;"2020-03-18";2;1;0;1
"67";0;"2020-03-18";210;58;15;4
"67";1;"2020-03-18";108;37;7;3
"67";2;"2020-03-18";99;21;8;1
"68";0;"2020-03-18";371;77;74;116
"68";1;"2020-03-18";203;50;38;67
"68";2;"2020-03-18";164;27;35;47
"69";0;"2020-03-18";36;8;0;10
"69";1;"2020-03-18";14;1;0;4
"69";2;"2020-03-18";12;5;0;6
"70";0;"2020-03-18";14;4;0;2
"70";1;"2020-03-18";7;2;0;0
"70";2;"2020-03-18";7;2;0;2
"71";0;"2020-03-18";35;0;5;4
"71";1;"2020-03-18";13;0;3;2
"71";2;"2020-03-18";22;0;2;2
"72";0;"2020-03-18";9;0;0;1
"72";1;"2020-03-18";3;0;0;0
"72";2;"2020-03-18";6;0;0;1
"73";0;"2020-03-18";8;0;0;3
"73";1;"2020-03-18";2;0;0;2
"73";2;"2020-03-18";6;0;0;1
"74";0;"2020-03-18";31;8;5;43
"74";1;"2020-03-18";15;5;2;24
"74";2;"2020-03-18";9;0;3;18
"75";0;"2020-03-18";359;105;14;40
"75";1;"2020-03-18";217;70;10;22
"75";2;"2020-03-18";139;35;4;18
"76";0;"2020-03-18";30;3;3;3
"76";1;"2020-03-18";17;2;3;1
"76";2;"2020-03-18";13;1;0;2
"77";0;"2020-03-18";25;13;0;10
"77";1;"2020-03-18";15;12;0;6
"77";2;"2020-03-18";10;1;0;4
"78";0;"2020-03-18";69;18;5;5
"78";1;"2020-03-18";34;11;4;2
"78";2;"2020-03-18";35;7;1;3
"79";0;"2020-03-18";2;1;0;2
"79";1;"2020-03-18";1;1;0;1
"79";2;"2020-03-18";1;0;0;1
"80";0;"2020-03-18";50;20;1;9
"80";1;"2020-03-18";27;12;0;5
"80";2;"2020-03-18";22;8;1;4
"81";0;"2020-03-18";2;0;0;2
"81";1;"2020-03-18";1;0;0;2
"81";2;"2020-03-18";1;0;0;0
"82";0;"2020-03-18";1;0;1;0
"82";1;"2020-03-18";0;0;1;0
"82";2;"2020-03-18";1;0;0;0
"83";0;"2020-03-18";23;7;0;78
"83";1;"2020-03-18";12;6;0;39
"83";2;"2020-03-18";11;1;0;39
"84";0;"2020-03-18";9;3;1;7
"84";1;"2020-03-18";4;2;0;6
"84";2;"2020-03-18";5;1;1;1
"85";0;"2020-03-18";1;0;0;0
"85";1;"2020-03-18";0;0;0;0
"85";2;"2020-03-18";1;0;0;0
"86";0;"2020-03-18";7;0;1;0
"86";1;"2020-03-18";1;0;0;0
"86";2;"2020-03-18";6;0;1;0
"87";0;"2020-03-18";2;0;0;2
"87";1;"2020-03-18";1;0;0;0
"87";2;"2020-03-18";1;0;0;2
"88";0;"2020-03-18";32;6;8;7
"88";1;"2020-03-18";19;5;4;2
"88";2;"2020-03-18";13;1;4;5
"89";0;"2020-03-18";6;0;0;1
"89";1;"2020-03-18";5;0;0;1
"89";2;"2020-03-18";1;0;0;0
"90";0;"2020-03-18";25;9;0;0
"90";1;"2020-03-18";13;6;0;0
"90";2;"2020-03-18";12;3;0;0
"91";0;"2020-03-18";51;16;1;0
"91";1;"2020-03-18";35;11;0;0
"91";2;"2020-03-18";16;5;1;0
"92";0;"2020-03-18";149;48;4;22
"92";1;"2020-03-18";92;35;4;12
"92";2;"2020-03-18";55;13;0;10
"93";0;"2020-03-18";92;33;5;15
"93";1;"2020-03-18";59;21;3;9
"93";2;"2020-03-18";33;12;2;6
"94";0;"2020-03-18";122;32;5;16
"94";1;"2020-03-18";76;24;5;15
"94";2;"2020-03-18";44;8;0;1
"95";0;"2020-03-18";90;29;2;21
"95";1;"2020-03-18";64;23;2;8
"95";2;"2020-03-18";25;6;0;12
"971";0;"2020-03-18";0;0;0;0
"971";1;"2020-03-18";0;0;0;0
"971";2;"2020-03-18";0;0;0;0
"972";0;"2020-03-18";16;5;1;0
"972";1;"2020-03-18";9;3;0;0
"972";2;"2020-03-18";7;2;1;0
"973";0;"2020-03-18";0;0;0;0
"973";1;"2020-03-18";0;0;0;0
"973";2;"2020-03-18";0;0;0;0
"974";0;"2020-03-18";2;2;0;0
"974";1;"2020-03-18";2;2;0;0
"974";2;"2020-03-18";0;0;0;0
"976";0;"2020-03-18";0;0;0;0
"976";1;"2020-03-18";0;0;0;0
"976";2;"2020-03-18";0;0;0;0
"01";0;"2020-03-19";2;0;0;1
"01";1;"2020-03-19";1;0;0;1
"01";2;"2020-03-19";1;0;0;0
"02";0;"2020-03-19";43;15;19;33
"02";1;"2020-03-19";23;7;13;16
"02";2;"2020-03-19";20;8;6;17
"03";0;"2020-03-19";0;0;0;7
"03";1;"2020-03-19";0;0;0;2
"03";2;"2020-03-19";0;0;0;5
"04";0;"2020-03-19";3;1;0;3
"04";1;"2020-03-19";3;1;0;1
"04";2;"2020-03-19";0;0;0;2
"05";0;"2020-03-19";10;1;0;10
"05";1;"2020-03-19";3;0;0;8
"05";2;"2020-03-19";7;1;0;2
"06";0;"2020-03-19";33;5;2;48
"06";1;"2020-03-19";21;4;0;19
"06";2;"2020-03-19";11;0;2;29
"07";0;"2020-03-19";11;2;0;0
"07";1;"2020-03-19";6;1;0;0
"07";2;"2020-03-19";3;0;0;0
"08";0;"2020-03-19";0;0;0;1
"08";1;"2020-03-19";0;0;0;1
"08";2;"2020-03-19";0;0;0;0
"09";0;"2020-03-19";1;1;0;2
"09";1;"2020-03-19";0;0;0;1
"09";2;"2020-03-19";1;1;0;1
"10";0;"2020-03-19";6;1;0;0
"10";1;"2020-03-19";5;0;0;0
"10";2;"2020-03-19";1;1;0;0
"11";0;"2020-03-19";18;11;6;8
"11";1;"2020-03-19";12;7;3;2
"11";2;"2020-03-19";6;4;3;6
"12";0;"2020-03-19";9;2;1;2
"12";1;"2020-03-19";3;1;1;0
"12";2;"2020-03-19";6;1;0;2
"13";0;"2020-03-19";128;20;4;97
"13";1;"2020-03-19";63;11;2;54
"13";2;"2020-03-19";65;9;2;42
"14";0;"2020-03-19";4;1;0;1
"14";1;"2020-03-19";3;0;0;0
"14";2;"2020-03-19";1;1;0;1
"15";0;"2020-03-19";3;1;0;0
"15";1;"2020-03-19";3;1;0;0
"15";2;"2020-03-19";0;0;0;0
"16";0;"2020-03-19";0;0;0;2
"16";1;"2020-03-19";0;0;0;1
"16";2;"2020-03-19";0;0;0;1
"17";0;"2020-03-19";7;2;0;2
"17";1;"2020-03-19";7;2;0;2
"17";2;"2020-03-19";0;0;0;0
"18";0;"2020-03-19";0;0;0;0
"18";1;"2020-03-19";0;0;0;0
"18";2;"2020-03-19";0;0;0;0
"19";0;"2020-03-19";1;0;0;0
"19";1;"2020-03-19";1;0;0;0
"19";2;"2020-03-19";0;0;0;0
"21";0;"2020-03-19";53;19;2;28
"21";1;"2020-03-19";30;13;0;9
"21";2;"2020-03-19";23;6;2;18
"22";0;"2020-03-19";2;1;0;3
"22";1;"2020-03-19";2;1;0;1
"22";2;"2020-03-19";0;0;0;2
"23";0;"2020-03-19";0;0;0;0
"23";1;"2020-03-19";0;0;0;0
"23";2;"2020-03-19";0;0;0;0
"24";0;"2020-03-19";2;1;0;1
"24";1;"2020-03-19";1;1;0;1
"24";2;"2020-03-19";1;0;0;0
"25";0;"2020-03-19";33;11;2;10
"25";1;"2020-03-19";22;10;1;2
"25";2;"2020-03-19";11;1;1;8
"26";0;"2020-03-19";32;8;0;2
"26";1;"2020-03-19";18;5;0;1
"26";2;"2020-03-19";14;3;0;1
"27";0;"2020-03-19";1;1;1;0
"27";1;"2020-03-19";1;1;1;0
"27";2;"2020-03-19";0;0;0;0
"28";0;"2020-03-19";11;4;1;0
"28";1;"2020-03-19";5;2;1;0
"28";2;"2020-03-19";6;2;0;0
"29";0;"2020-03-19";17;5;0;6
"29";1;"2020-03-19";9;4;0;3
"29";2;"2020-03-19";8;1;0;3
"2A";0;"2020-03-19";1;0;1;1
"2A";1;"2020-03-19";1;0;0;1
"2A";2;"2020-03-19";0;0;1;0
"2B";0;"2020-03-19";0;0;0;0
"2B";1;"2020-03-19";0;0;0;0
"2B";2;"2020-03-19";0;0;0;0
"30";0;"2020-03-19";4;1;1;7
"30";1;"2020-03-19";4;1;1;2
"30";2;"2020-03-19";0;0;0;5
"31";0;"2020-03-19";26;6;1;13
"31";1;"2020-03-19";18;5;0;5
"31";2;"2020-03-19";8;1;1;8
"32";0;"2020-03-19";3;3;0;0
"32";1;"2020-03-19";3;3;0;0
"32";2;"2020-03-19";0;0;0;0
"33";0;"2020-03-19";7;5;2;7
"33";1;"2020-03-19";5;4;1;3
"33";2;"2020-03-19";2;1;1;4
"34";0;"2020-03-19";49;18;4;21
"34";1;"2020-03-19";26;11;2;11
"34";2;"2020-03-19";23;7;2;10
"35";0;"2020-03-19";16;8;0;15
"35";1;"2020-03-19";12;6;0;6
"35";2;"2020-03-19";4;2;0;9
"36";0;"2020-03-19";3;0;0;0
"36";1;"2020-03-19";2;0;0;0
"36";2;"2020-03-19";1;0;0;0
"37";0;"2020-03-19";6;3;0;0
"37";1;"2020-03-19";4;2;0;0
"37";2;"2020-03-19";2;1;0;0
"38";0;"2020-03-19";22;2;1;3
"38";1;"2020-03-19";12;1;1;1
"38";2;"2020-03-19";10;1;0;2
"39";0;"2020-03-19";2;1;0;1
"39";1;"2020-03-19";1;0;0;1
"39";2;"2020-03-19";1;1;0;0
"40";0;"2020-03-19";0;0;0;0
"40";1;"2020-03-19";0;0;0;0
"40";2;"2020-03-19";0;0;0;0
"41";0;"2020-03-19";2;0;0;1
"41";1;"2020-03-19";0;0;0;1
"41";2;"2020-03-19";2;0;0;0
"42";0;"2020-03-19";48;18;3;8
"42";1;"2020-03-19";33;16;3;6
"42";2;"2020-03-19";15;2;0;2
"43";0;"2020-03-19";1;1;0;5
"43";1;"2020-03-19";1;1;0;2
"43";2;"2020-03-19";0;0;0;3
"44";0;"2020-03-19";24;6;1;9
"44";1;"2020-03-19";17;4;0;5
"44";2;"2020-03-19";7;2;1;4
"45";0;"2020-03-19";9;3;0;0
"45";1;"2020-03-19";6;3;0;0
"45";2;"2020-03-19";3;0;0;0
"46";0;"2020-03-19";0;0;0;1
"46";1;"2020-03-19";0;0;0;0
"46";2;"2020-03-19";0;0;0;1
"47";0;"2020-03-19";10;1;0;1
"47";1;"2020-03-19";7;1;0;1
"47";2;"2020-03-19";3;0;0;0
"48";0;"2020-03-19";1;0;0;0
"48";1;"2020-03-19";0;0;0;0
"48";2;"2020-03-19";1;0;0;0
"49";0;"2020-03-19";16;3;0;28
"49";1;"2020-03-19";7;2;0;17
"49";2;"2020-03-19";9;1;0;11
"50";0;"2020-03-19";6;0;0;2
"50";1;"2020-03-19";3;0;0;1
"50";2;"2020-03-19";3;0;0;1
"51";0;"2020-03-19";39;7;2;14
"51";1;"2020-03-19";21;4;1;6
"51";2;"2020-03-19";18;3;1;8
"52";0;"2020-03-19";4;0;1;0
"52";1;"2020-03-19";2;0;0;0
"52";2;"2020-03-19";2;0;1;0
"53";0;"2020-03-19";5;1;0;3
"53";1;"2020-03-19";4;1;0;1
"53";2;"2020-03-19";1;0;0;2
"54";0;"2020-03-19";54;23;6;1
"54";1;"2020-03-19";31;16;2;0
"54";2;"2020-03-19";20;6;4;1
"55";0;"2020-03-19";35;3;0;4
"55";1;"2020-03-19";17;0;0;1
"55";2;"2020-03-19";18;3;0;3
"56";0;"2020-03-19";42;12;9;53
"56";1;"2020-03-19";26;9;5;22
"56";2;"2020-03-19";16;3;4;31
"57";0;"2020-03-19";194;46;19;15
"57";1;"2020-03-19";109;36;8;8
"57";2;"2020-03-19";84;10;11;7
"58";0;"2020-03-19";0;0;0;0
"58";1;"2020-03-19";0;0;0;0
"58";2;"2020-03-19";0;0;0;0
"59";0;"2020-03-19";138;35;5;36
"59";1;"2020-03-19";83;27;3;23
"59";2;"2020-03-19";55;8;2;13
"60";0;"2020-03-19";109;21;14;23
"60";1;"2020-03-19";59;15;9;15
"60";2;"2020-03-19";50;6;5;8
"61";0;"2020-03-19";2;0;0;3
"61";1;"2020-03-19";1;0;0;1
"61";2;"2020-03-19";1;0;0;2
"62";0;"2020-03-19";30;11;0;25
"62";1;"2020-03-19";18;8;0;15
"62";2;"2020-03-19";12;3;0;10
"63";0;"2020-03-19";9;1;0;4
"63";1;"2020-03-19";7;1;0;2
"63";2;"2020-03-19";2;0;0;2
"64";0;"2020-03-19";9;0;0;1
"64";1;"2020-03-19";5;0;0;0
"64";2;"2020-03-19";4;0;0;1
"65";0;"2020-03-19";2;1;0;0
"65";1;"2020-03-19";2;1;0;0
"65";2;"2020-03-19";0;0;0;0
"66";0;"2020-03-19";19;11;3;3
"66";1;"2020-03-19";9;7;1;2
"66";2;"2020-03-19";10;4;2;1
"67";0;"2020-03-19";302;82;18;13
"67";1;"2020-03-19";159;59;9;8
"67";2;"2020-03-19";137;23;9;5
"68";0;"2020-03-19";437;73;91;131
"68";1;"2020-03-19";241;49;47;75
"68";2;"2020-03-19";192;24;43;54
"69";0;"2020-03-19";210;33;12;48
"69";1;"2020-03-19";35;6;0;6
"69";2;"2020-03-19";24;5;1;11
"70";0;"2020-03-19";14;3;0;3
"70";1;"2020-03-19";7;1;0;0
"70";2;"2020-03-19";7;2;0;3
"71";0;"2020-03-19";48;3;5;7
"71";1;"2020-03-19";19;3;3;2
"71";2;"2020-03-19";29;0;2;5
"72";0;"2020-03-19";8;0;0;5
"72";1;"2020-03-19";2;0;0;2
"72";2;"2020-03-19";6;0;0;3
"73";0;"2020-03-19";10;2;0;5
"73";1;"2020-03-19";4;2;0;2
"73";2;"2020-03-19";6;0;0;3
"74";0;"2020-03-19";37;11;6;49
"74";1;"2020-03-19";21;8;2;27
"74";2;"2020-03-19";10;0;4;20
"75";0;"2020-03-19";453;122;22;62
"75";1;"2020-03-19";279;85;16;31
"75";2;"2020-03-19";170;37;6;30
"76";0;"2020-03-19";33;4;4;3
"76";1;"2020-03-19";20;3;4;1
"76";2;"2020-03-19";13;1;0;2
"77";0;"2020-03-19";48;13;0;15
"77";1;"2020-03-19";31;10;0;7
"77";2;"2020-03-19";17;3;0;8
"78";0;"2020-03-19";92;20;6;7
"78";1;"2020-03-19";50;13;5;2
"78";2;"2020-03-19";42;7;1;5
"79";0;"2020-03-19";3;1;0;3
"79";1;"2020-03-19";1;1;0;1
"79";2;"2020-03-19";2;0;0;2
"80";0;"2020-03-19";74;23;2;12
"80";1;"2020-03-19";38;15;1;7
"80";2;"2020-03-19";35;8;1;5
"81";0;"2020-03-19";5;1;0;2
"81";1;"2020-03-19";2;0;0;2
"81";2;"2020-03-19";3;1;0;0
"82";0;"2020-03-19";1;0;1;0
"82";1;"2020-03-19";0;0;1;0
"82";2;"2020-03-19";1;0;0;0
"83";0;"2020-03-19";27;13;2;86
"83";1;"2020-03-19";20;10;1;41
"83";2;"2020-03-19";7;3;1;45
"84";0;"2020-03-19";12;4;1;9
"84";1;"2020-03-19";6;2;0;6
"84";2;"2020-03-19";6;2;1;3
"85";0;"2020-03-19";5;1;0;5
"85";1;"2020-03-19";2;0;0;2
"85";2;"2020-03-19";3;1;0;3
"86";0;"2020-03-19";7;0;1;0
"86";1;"2020-03-19";1;0;0;0
"86";2;"2020-03-19";6;0;1;0
"87";0;"2020-03-19";6;1;0;2
"87";1;"2020-03-19";3;1;0;0
"87";2;"2020-03-19";3;0;0;2
"88";0;"2020-03-19";38;6;11;8
"88";1;"2020-03-19";21;4;7;3
"88";2;"2020-03-19";17;2;4;5
"89";0;"2020-03-19";5;1;2;1
"89";1;"2020-03-19";4;1;1;1
"89";2;"2020-03-19";1;0;1;0
"90";0;"2020-03-19";39;9;3;0
"90";1;"2020-03-19";24;8;1;0
"90";2;"2020-03-19";15;1;2;0
"91";0;"2020-03-19";82;22;1;4
"91";1;"2020-03-19";53;15;0;2
"91";2;"2020-03-19";29;7;1;2
"92";0;"2020-03-19";206;54;7;31
"92";1;"2020-03-19";116;42;6;16
"92";2;"2020-03-19";89;12;1;15
"93";0;"2020-03-19";143;45;5;21
"93";1;"2020-03-19";82;24;3;12
"93";2;"2020-03-19";59;20;2;9
"94";0;"2020-03-19";182;47;10;41
"94";1;"2020-03-19";108;35;8;22
"94";2;"2020-03-19";72;12;2;19
"95";0;"2020-03-19";150;37;5;32
"95";1;"2020-03-19";98;30;5;18
"95";2;"2020-03-19";51;7;0;14
"971";0;"2020-03-19";0;0;0;0
"971";1;"2020-03-19";0;0;0;0
"971";2;"2020-03-19";0;0;0;0
"972";0;"2020-03-19";17;5;1;0
"972";1;"2020-03-19";9;3;0;0
"972";2;"2020-03-19";8;2;1;0
"973";0;"2020-03-19";0;0;0;0
"973";1;"2020-03-19";0;0;0;0
"973";2;"2020-03-19";0;0;0;0
"974";0;"2020-03-19";2;2;0;0
"974";1;"2020-03-19";2;2;0;0
"974";2;"2020-03-19";0;0;0;0
"976";0;"2020-03-19";0;0;0;0
"976";1;"2020-03-19";0;0;0;0
"976";2;"2020-03-19";0;0;0;0
"01";0;"2020-03-20";2;0;0;1
"01";1;"2020-03-20";1;0;0;1
"01";2;"2020-03-20";1;0;0;0
"02";0;"2020-03-20";52;19;24;40
"02";1;"2020-03-20";30;10;16;18
"02";2;"2020-03-20";22;9;8;22
"03";0;"2020-03-20";1;0;0;10
"03";1;"2020-03-20";1;0;0;4
"03";2;"2020-03-20";0;0;0;6
"04";0;"2020-03-20";3;1;0;3
"04";1;"2020-03-20";3;1;0;1
"04";2;"2020-03-20";0;0;0;2
"05";0;"2020-03-20";13;1;0;10
"05";1;"2020-03-20";5;0;0;8
"05";2;"2020-03-20";8;1;0;2
"06";0;"2020-03-20";43;7;4;61
"06";1;"2020-03-20";25;6;1;26
"06";2;"2020-03-20";16;0;3;34
"07";0;"2020-03-20";15;3;1;3
"07";1;"2020-03-20";8;2;1;0
"07";2;"2020-03-20";5;0;0;3
"08";0;"2020-03-20";1;1;0;1
"08";1;"2020-03-20";0;0;0;1
"08";2;"2020-03-20";1;1;0;0
"09";0;"2020-03-20";2;1;0;2
"09";1;"2020-03-20";1;0;0;1
"09";2;"2020-03-20";1;1;0;1
"10";0;"2020-03-20";12;2;0;0
"10";1;"2020-03-20";9;1;0;0
"10";2;"2020-03-20";3;1;0;0
"11";0;"2020-03-20";26;11;8;13
"11";1;"2020-03-20";20;8;5;3
"11";2;"2020-03-20";6;3;3;10
"12";0;"2020-03-20";12;2;1;3
"12";1;"2020-03-20";3;1;1;1
"12";2;"2020-03-20";9;1;0;2
"13";0;"2020-03-20";174;26;4;108
"13";1;"2020-03-20";83;16;2;58
"13";2;"2020-03-20";90;10;2;49
"14";0;"2020-03-20";4;1;1;3
"14";1;"2020-03-20";2;0;1;2
"14";2;"2020-03-20";2;1;0;1
"15";0;"2020-03-20";4;1;0;0
"15";1;"2020-03-20";3;1;0;0
"15";2;"2020-03-20";1;0;0;0
"16";0;"2020-03-20";1;0;0;2
"16";1;"2020-03-20";1;0;0;1
"16";2;"2020-03-20";0;0;0;1
"17";0;"2020-03-20";9;3;0;2
"17";1;"2020-03-20";8;3;0;2
"17";2;"2020-03-20";1;0;0;0
"18";0;"2020-03-20";0;0;0;0
"18";1;"2020-03-20";0;0;0;0
"18";2;"2020-03-20";0;0;0;0
"19";0;"2020-03-20";1;0;0;0
"19";1;"2020-03-20";1;0;0;0
"19";2;"2020-03-20";0;0;0;0
